frame_pair,mean_flow_epe,median_flow_epe,stage1_flow_mag,refined_flow_mag,flow_mag_ratio
0,0.0,0.0,0.0001867762766778469,0.0001867762766778469,0.9999464628762998
1,0.0,0.0,0.28900066018104553,0.28900066018104553,0.9999999653980042
2,0.0,0.0,0.09848472476005554,0.09848472476005554,0.9999998984614212
3,0.0,0.0,0.003750497940927744,0.003750497940927744,0.9999973336944868
4,0.0,0.0,0.47877171635627747,0.47877171635627747,0.9999999791132195
5,0.0,0.0,0.26018673181533813,0.26018673181533813,0.9999999615660663
6,0.0,0.0,0.057397231459617615,0.057397231459617615,0.9999998257755992
7,0.0,0.0,0.25909608602523804,0.25909608602523804,0.9999999614042815
8,0.0,0.0,0.07220834493637085,0.07220834493637085,0.9999998615118707
9,0.0,0.0,0.12646056711673737,0.12646056711673737,0.9999999209239732
10,0.0,0.0,0.18294240534305573,0.18294240534305573,0.9999999453379907
11,0.0,0.0,0.0094663817435503,0.0094663817435503,0.9999989436312936
12,0.0,0.0,0.2509799599647522,0.2509799599647522,0.999999960156183
13,0.0,0.0,0.31081852316856384,0.31081852316856384,0.9999999678268864
14,0.0,0.0,0.008843373507261276,0.008843373507261276,0.9999988692110896
15,0.0,0.0,0.4963427782058716,0.4963427782058716,0.9999999798526337
16,0.0,0.0,0.05113218352198601,0.05113218352198601,0.9999998044284958
17,0.0,0.0,0.1369854211807251,0.1369854211807251,0.9999999269995363
18,0.0,0.0,0.628871738910675,0.628871738910675,0.9999999840985064
19,0.0,0.0,0.0073039657436311245,0.0073039657436311245,0.9999986308826383
20,0.0,0.0,0.32062703371047974,0.32062703371047974,0.999999968811115
21,0.0,0.0,0.5049471855163574,0.5049471855163574,0.9999999801959489
22,0.0,0.0,0.001621559145860374,0.001621559145860374,0.9999938331337732
23,0.0,0.0,0.2517249286174774,0.2517249286174774,0.999999960274099
24,0.0,0.0,0.04781924560666084,0.04781924560666084,0.9999997908792206
25,0.0,0.0,0.23249006271362305,0.23249006271362305,0.9999999569874107
26,0.0,0.0,0.3689783215522766,0.3689783215522766,0.9999999728981376
27,0.0,0.0,0.0034737326204776764,0.0034737326204776764,0.9999971212605272
28,0.0,0.0,0.19470763206481934,0.19470763206481934,0.9999999486409475
29,0.0,0.0,0.08213502913713455,0.08213502913713455,0.9999998782492819
30,0.0,0.0,0.014291013590991497,0.014291013590991497,0.9999993002600593
mean,0.0,0.0,0.18554986491724249,0.18554986491724249,0.9999977062819676
