path,width,height,fps,duration,num_frames
outputs/normalized/stage1/scene01_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/stage1/scene02_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/stage1/scene03_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/flowguided/scene01_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/flowguided/scene02_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/flowguided/scene03_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/vanilla/scene01_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/vanilla/scene02_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/vanilla/scene03_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/venhancer_n100/scene01_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/venhancer_n200/scene01_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/venhancer_n30/scene01_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/venhancer_n30/scene02_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/venhancer_n30/scene03_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/venhancer_n50/scene01_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/venhancer_n50/scene02_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/venhancer_n50/scene03_seed0.mp4,512,512,16.0,4.000000,64
outputs/normalized/v2v/venhancer_n70/scene01_seed0.mp4,512,512,16.0,4.000000,64
outputs/v2v/flowguided/scene01_seed0.mp4,512,512,16.0,4.000000,64
outputs/v2v/vanilla/scene01_seed0.mp4,1174,1174,32.0,3.968750,127
outputs/v2v/venhancer_n100/scene01_seed0.mp4,1174,1174,32.0,3.968750,127
outputs/v2v/venhancer_n200/scene01_seed0.mp4,1174,1174,32.0,3.968750,127
outputs/v2v/venhancer_n30/scene01_seed0.mp4,1174,1174,32.0,3.968750,127
outputs/v2v/venhancer_n30/scene02_seed0.mp4,1174,1174,32.0,3.968750,127
outputs/v2v/venhancer_n30/scene03_seed0.mp4,1174,1174,32.0,3.968750,127
outputs/v2v/venhancer_n50/scene01_seed0.mp4,1174,1174,32.0,3.968750,127
outputs/v2v/venhancer_n50/scene02_seed0.mp4,1174,1174,32.0,3.968750,127
outputs/v2v/venhancer_n50/scene03_seed0.mp4,1174,1174,32.0,3.968750,127
outputs/v2v/venhancer_n70/scene01_seed0.mp4,1174,1174,32.0,3.968750,127
